Origin,Origin_Lat,Origin_Lon,Destination,Dest_Lat,Dest_Lon,Distance_km,Vehicle_Type,Fuel_Type,Fuel_Price_per_unit_INR,Fuel_Consumption_per_100km,Fuel_Cost_INR,Other_Costs_INR,Handling_Fee_INR,Total_Price_INR
Kanpur,26.4499,80.3319,Kalyan-Dombivli,19.2403,73.13,1089.08,Pickup,diesel,92.0,8,8015.63,301.38,200,8517.01
Rajkot,22.3039,70.8022,Kolkata,22.5726,88.3639,1804.14,Medium Truck,diesel,92.0,18,29876.56,1418.98,200,31495.54
Meerut,28.9845,77.7064,Pimpri-Chinchwad,18.6278,73.7898,1218.31,CNG Truck,cng,80.0,16,15594.37,914.08,200,16708.45
Vadodara,22.3072,73.1812,Vasai-Virar,19.3914,72.8397,326.16,Electric Van,electric,12.0,18,704.51,236.56,200,1141.06
Jaipur,26.9124,75.7873,Indore,22.7196,75.8577,466.27,Large Truck,diesel,92.0,25,10724.21,759.52,200,11683.73
Kolkata,22.5726,88.3639,Coimbatore,11.0168,76.9558,1766.1,Electric Van,electric,12.0,18,3814.78,927.73,200,4942.5
Tiruchirappalli,10.7905,78.7047,Ludhiana,30.9,75.8573,2255.28,Small Truck,diesel,92.0,10,20748.58,726.58,200,21675.16
Dhanbad,23.7957,86.4304,Navi Mumbai,19.033,73.0297,1483.93,CNG Truck,cng,80.0,16,18994.3,1089.39,200,20283.7
Kolkata,22.5726,88.3639,Navi Mumbai,19.033,73.0297,1640.86,Small Truck,diesel,92.0,10,15095.91,542.26,200,15838.17
Vijayawada,16.5062,80.648,Chennai,13.0827,80.2707,382.83,Electric Van,electric,12.0,18,826.91,263.76,200,1290.67
Ahmedabad,23.0225,72.5714,Jabalpur,23.1815,79.9864,758.52,Medium Truck,diesel,92.0,18,12561.09,666.13,200,13427.23
Bengaluru,12.9716,77.5946,Jodhpur,26.2389,73.0243,1550.53,Small Truck,diesel,92.0,10,14264.88,515.16,200,14980.03
Coimbatore,11.0168,76.9558,Jabalpur,23.1815,79.9864,1390.29,Tractor Trailer,diesel,92.0,30,38372.0,2335.43,200,40907.44
Pimpri-Chinchwad,18.6278,73.7898,Thane,19.2183,72.9781,107.71,Electric Van,electric,12.0,18,232.65,131.7,200,564.35
Visakhapatnam,17.6868,83.2185,Pimpri-Chinchwad,18.6278,73.7898,1001.57,Pickup,diesel,92.0,8,7371.56,280.38,200,7851.93
Raipur,21.2514,81.6296,Ghaziabad,28.6692,77.4538,925.81,Pickup,diesel,92.0,8,6813.96,262.19,200,7276.16
Chennai,13.0827,80.2707,Delhi,28.7041,77.1025,1767.65,Pickup,diesel,92.0,8,13009.9,464.24,200,13674.14
Jabalpur,23.1815,79.9864,Pune,18.5204,73.8567,820.95,Small Truck,diesel,92.0,10,7552.74,296.28,200,8049.02
Navi Mumbai,19.033,73.0297,Pimpri-Chinchwad,18.6278,73.7898,91.81,Medium Truck,diesel,92.0,18,1520.37,186.1,200,1906.48
Visakhapatnam,17.6868,83.2185,Faridabad,28.4089,77.3178,1335.77,Large Truck,diesel,92.0,25,30722.71,1802.92,200,32725.63
Howrah,22.5958,88.2636,Solapur,17.6599,75.9064,1401.24,Large Truck,diesel,92.0,25,32228.52,1881.49,200,34310.01
Raipur,21.2514,81.6296,Allahabad,25.4358,81.8463,465.81,Small Truck,diesel,92.0,10,4285.45,189.74,200,4675.2
Gwalior,26.2183,78.1828,Ghaziabad,28.6692,77.4538,281.86,Electric Van,electric,12.0,18,608.82,215.29,200,1024.11
Lucknow,26.8467,80.9462,Pimpri-Chinchwad,18.6278,73.7898,1171.46,Small Truck,petrol,100.0,10,11714.6,401.44,200,12316.04
Patna,25.5941,85.1376,Vadodara,22.3072,73.1812,1268.19,Tractor Trailer,diesel,92.0,30,35002.04,2152.28,200,37354.33
Agra,27.1767,78.0081,Thane,19.2183,72.9781,1023.09,Electric Van,electric,12.0,18,2209.87,571.08,200,2980.96
Pimpri-Chinchwad,18.6278,73.7898,Navi Mumbai,19.033,73.0297,91.81,Pickup,diesel,92.0,8,675.72,62.03,200,937.76
Kolkata,22.5726,88.3639,Hyderabad,17.385,78.4867,1181.88,Electric Van,electric,12.0,18,2552.86,647.3,200,3400.16
Patna,25.5941,85.1376,Bengaluru,12.9716,77.5946,1610.33,Small Truck,diesel,92.0,10,14815.04,533.1,200,15548.14
Lucknow,26.8467,80.9462,Madurai,9.9252,78.1198,1904.85,Large Truck,diesel,92.0,25,43811.55,2485.82,200,46497.37
Varanasi,25.3176,82.9739,Gwalior,26.2183,78.1828,490.08,Electric Van,electric,12.0,18,1058.57,315.24,200,1573.81
Delhi,28.7041,77.1025,Ahmedabad,23.0225,72.5714,777.41,Small Truck,petrol,100.0,10,7774.1,283.22,200,8257.32
Howrah,22.5958,88.2636,Bengaluru,12.9716,77.5946,1554.7,CNG Truck,cng,80.0,16,19900.16,1136.1,200,21236.26
Gwalior,26.2183,78.1828,Jaipur,26.9124,75.7873,250.43,Pickup,diesel,92.0,8,1843.16,100.1,200,2143.27
Ghaziabad,28.6692,77.4538,Faridabad,28.4089,77.3178,31.85,CNG Truck,diesel,92.0,16,468.83,131.02,200,799.85
Nashik,19.9975,73.7898,Thane,19.2183,72.9781,121.39,Electric Van,electric,12.0,18,262.2,138.27,200,600.47
Pune,18.5204,73.8567,Nashik,19.9975,73.7898,164.4,CNG Truck,cng,80.0,16,2104.32,218.5,200,2522.82
Kalyan-Dombivli,19.2403,73.13,Jodhpur,26.2389,73.0243,778.28,Electric Van,electric,12.0,18,1681.08,453.57,200,2334.66
Visakhapatnam,17.6868,83.2185,Kanpur,26.4499,80.3319,1018.68,CNG Truck,cng,80.0,16,13039.1,782.33,200,14021.43
Kalyan-Dombivli,19.2403,73.13,Mumbai,19.076,72.8777,32.19,Medium Truck,diesel,92.0,18,533.07,143.18,200,876.24
Agra,27.1767,78.0081,Kalyan-Dombivli,19.2403,73.13,1013.25,CNG Truck,cng,80.0,16,12969.6,778.75,200,13948.35
Tiruchirappalli,10.7905,78.7047,Visakhapatnam,17.6868,83.2185,907.94,Large Truck,diesel,92.0,25,20882.62,1289.53,200,22372.15
Chandigarh,30.7333,76.7794,Pune,18.5204,73.8567,1389.58,Pickup,electric,12.0,8,1334.0,373.5,200,1907.5
Bhopal,23.2599,77.4126,Indore,22.7196,75.8577,170.12,CNG Truck,cng,80.0,16,2177.54,222.28,200,2599.82
Ghaziabad,28.6692,77.4538,Bhopal,23.2599,77.4126,601.5,Medium Truck,diesel,92.0,18,9960.84,553.08,200,10713.92
Indore,22.7196,75.8577,Rajkot,22.3039,70.8022,521.34,Large Truck,diesel,92.0,25,11990.82,825.61,200,13016.43
Chennai,13.0827,80.2707,Patna,25.5941,85.1376,1481.47,Large Truck,diesel,92.0,25,34073.81,1977.76,200,36251.57
Rajkot,22.3039,70.8022,Guwahati,26.1445,91.7362,2162.72,CNG Truck,cng,80.0,16,27682.82,1537.4,200,29420.21
Mumbai,19.076,72.8777,Ahmedabad,23.0225,72.5714,439.98,Large Truck,diesel,92.0,25,10119.54,727.98,200,11047.52
Pimpri-Chinchwad,18.6278,73.7898,Bengaluru,12.9716,77.5946,749.08,Small Truck,diesel,92.0,10,6891.54,274.72,200,7366.26
Nashik,19.9975,73.7898,Hubli,15.3647,75.123,534.14,CNG Truck,cng,80.0,16,6836.99,462.53,200,7499.52
Vijayawada,16.5062,80.648,Navi Mumbai,19.033,73.0297,854.1,Small Truck,diesel,92.0,10,7857.72,306.23,200,8363.95
Jabalpur,23.1815,79.9864,Indore,22.7196,75.8577,425.84,Large Truck,diesel,92.0,25,9794.32,711.01,200,10705.33
Vasai-Virar,19.3914,72.8397,Delhi,28.7041,77.1025,1122.05,Tractor Trailer,petrol,100.0,30,33661.5,1933.07,200,35794.57
Faridabad,28.4089,77.3178,Vasai-Virar,19.3914,72.8397,1100.89,Small Truck,cng,80.0,10,8807.12,380.27,200,9387.39
Jodhpur,26.2389,73.0243,Ludhiana,30.9,75.8573,587.44,Electric Van,electric,12.0,18,1268.87,361.97,200,1830.84
Hubli,15.3647,75.123,Ghaziabad,28.6692,77.4538,1498.65,Tractor Trailer,diesel,92.0,30,41362.74,2497.98,200,44060.72
Kalyan-Dombivli,19.2403,73.13,Ludhiana,30.9,75.8573,1325.12,Pickup,diesel,92.0,8,9752.88,358.03,200,10310.91
Gwalior,26.2183,78.1828,Lucknow,26.8467,80.9462,283.65,Medium Truck,diesel,92.0,18,4697.24,324.23,200,5221.47
Meerut,28.9845,77.7064,Guwahati,26.1445,91.7362,1417.58,Electric Van,cng,80.0,18,20413.15,760.44,200,21373.59
Rajkot,22.3039,70.8022,Gwalior,26.2183,78.1828,865.32,CNG Truck,cng,80.0,16,11076.1,681.11,200,11957.21
Vadodara,22.3072,73.1812,Thane,19.2183,72.9781,344.12,Pickup,diesel,92.0,8,2532.72,122.59,200,2855.31
Vijayawada,16.5062,80.648,Raipur,21.2514,81.6296,537.65,Large Truck,diesel,92.0,25,12365.95,845.18,200,13411.13
Varanasi,25.3176,82.9739,Guwahati,26.1445,91.7362,882.34,Medium Truck,diesel,92.0,18,14611.55,755.28,200,15566.84
Tiruchirappalli,10.7905,78.7047,Kanpur,26.4499,80.3319,1749.6,Electric Van,electric,12.0,18,3779.14,919.81,200,4898.94
Navi Mumbai,19.033,73.0297,Kota,25.2138,75.8648,746.66,Electric Van,electric,12.0,18,1612.79,438.4,200,2251.18
Hyderabad,17.385,78.4867,Visakhapatnam,17.6868,83.2185,502.81,Electric Van,electric,12.0,18,1086.07,321.35,200,1607.42
Indore,22.7196,75.8577,Jaipur,26.9124,75.7873,466.27,Small Truck,diesel,92.0,10,4289.68,189.88,200,4679.57
Dhanbad,23.7957,86.4304,Jodhpur,26.2389,73.0243,1377.17,CNG Truck,cng,80.0,16,17627.78,1018.93,200,18846.71
Srinagar,34.0837,74.7973,Kalyan-Dombivli,19.2403,73.13,1658.72,Electric Van,electric,12.0,18,3582.84,876.19,200,4659.02
Solapur,17.6599,75.9064,Chandigarh,30.7333,76.7794,1456.37,Pickup,diesel,92.0,8,10718.88,389.53,200,11308.41
Visakhapatnam,17.6868,83.2185,Jaipur,26.9124,75.7873,1278.6,Electric Van,electric,12.0,18,2761.78,693.73,200,3655.5
Pune,18.5204,73.8567,Vasai-Virar,19.3914,72.8397,144.29,Medium Truck,diesel,92.0,18,2389.44,223.89,200,2813.33
Chandigarh,30.7333,76.7794,Allahabad,25.4358,81.8463,770.52,Pickup,diesel,92.0,8,5671.03,224.92,200,6095.95
Visakhapatnam,17.6868,83.2185,Ahmedabad,23.0225,72.5714,1257.92,Pickup,diesel,92.0,8,9258.29,341.9,200,9800.19
Srinagar,34.0837,74.7973,Kota,25.2138,75.8648,991.65,Tractor Trailer,cng,80.0,30,23799.6,1737.47,200,25737.07
Varanasi,25.3176,82.9739,Jodhpur,26.2389,73.0243,1001.24,CNG Truck,cng,80.0,16,12815.87,770.82,200,13786.69
Navi Mumbai,19.033,73.0297,Vasai-Virar,19.3914,72.8397,44.57,CNG Truck,electric,12.0,16,85.57,139.42,200,424.99
Kanpur,26.4499,80.3319,Tiruchirappalli,10.7905,78.7047,1749.6,CNG Truck,cng,80.0,16,22394.88,1264.74,200,23859.62
Pimpri-Chinchwad,18.6278,73.7898,Visakhapatnam,17.6868,83.2185,1001.57,CNG Truck,cng,80.0,16,12820.1,771.04,200,13791.13
Allahabad,25.4358,81.8463,Amritsar,31.634,74.8723,968.58,Electric Van,electric,12.0,18,2092.13,544.92,200,2837.05
Varanasi,25.3176,82.9739,Chennai,13.0827,80.2707,1389.61,Electric Van,electric,12.0,18,3001.56,747.01,200,3948.57
Patna,25.5941,85.1376,Agra,27.1767,78.0081,731.53,Large Truck,diesel,92.0,25,16825.19,1077.84,200,18103.03
Lucknow,26.8467,80.9462,Jaipur,26.9124,75.7873,511.68,Medium Truck,diesel,92.0,18,8473.42,488.41,200,9161.83
Jaipur,26.9124,75.7873,Solapur,17.6599,75.9064,1028.9,Medium Truck,diesel,92.0,18,17038.58,860.81,200,18099.39
Kalyan-Dombivli,19.2403,73.13,Agra,27.1767,78.0081,1013.25,Tractor Trailer,diesel,92.0,30,27965.7,1769.88,200,29935.58
Kolkata,22.5726,88.3639,Thane,19.2183,72.9781,1640.33,CNG Truck,cng,80.0,16,20996.22,1192.62,200,22388.84
Coimbatore,11.0168,76.9558,Chandigarh,30.7333,76.7794,2192.45,Small Truck,electric,12.0,10,2630.94,707.73,200,3538.67
Dhanbad,23.7957,86.4304,Delhi,28.7041,77.1025,1077.94,Large Truck,diesel,92.0,25,24792.62,1493.53,200,26486.15
Meerut,28.9845,77.7064,Kalyan-Dombivli,19.2403,73.13,1178.5,Tractor Trailer,diesel,92.0,30,32526.6,2017.75,200,34744.35
Howrah,22.5958,88.2636,Vijayawada,16.5062,80.648,1046.12,Medium Truck,diesel,92.0,18,17323.75,873.21,200,18396.95
Patna,25.5941,85.1376,Vasai-Virar,19.3914,72.8397,1438.3,Pickup,diesel,92.0,8,10585.89,385.19,200,11171.08
Agra,27.1767,78.0081,Kota,25.2138,75.8648,305.55,Electric Van,electric,12.0,18,659.99,226.66,200,1086.65
Hubli,15.3647,75.123,Kanpur,26.4499,80.3319,1345.65,CNG Truck,cng,80.0,16,17224.32,998.13,200,18422.45
Lucknow,26.8467,80.9462,Jodhpur,26.2389,73.0243,790.79,Tractor Trailer,diesel,92.0,30,21825.8,1436.18,200,23461.99
Rajkot,22.3039,70.8022,Coimbatore,11.0168,76.9558,1415.31,Tractor Trailer,diesel,92.0,30,39062.56,2372.97,200,41635.52
Hyderabad,17.385,78.4867,Raipur,21.2514,81.6296,541.79,Pickup,diesel,92.0,8,3987.57,170.03,200,4357.6
Srinagar,34.0837,74.7973,Nagpur,21.1458,79.0882,1499.0,Small Truck,diesel,92.0,10,13790.8,499.7,200,14490.5
Ludhiana,30.9,75.8573,Thane,19.2183,72.9781,1330.75,Pickup,diesel,92.0,8,9794.32,359.38,200,10353.7
Meerut,28.9845,77.7064,Patna,25.5941,85.1376,825.19,CNG Truck,electric,12.0,16,1584.36,654.63,200,2438.99
Pimpri-Chinchwad,18.6278,73.7898,Hyderabad,17.385,78.4867,515.53,Pickup,diesel,92.0,8,3794.3,163.73,200,4158.03
Howrah,22.5958,88.2636,Kolkata,22.5726,88.3639,10.62,Large Truck,diesel,92.0,25,244.26,212.74,200,657.0
Chennai,13.0827,80.2707,Raipur,21.2514,81.6296,919.7,Small Truck,diesel,92.0,10,8461.24,325.91,200,8987.15
Visakhapatnam,17.6868,83.2185,Indore,22.7196,75.8577,950.03,CNG Truck,cng,80.0,16,12160.38,737.02,200,13097.4
Jaipur,26.9124,75.7873,Visakhapatnam,17.6868,83.2185,1278.6,Medium Truck,diesel,92.0,18,21173.62,1040.59,200,22414.21
Ahmedabad,23.0225,72.5714,Jabalpur,23.1815,79.9864,758.52,Medium Truck,diesel,92.0,18,12561.09,666.13,200,13427.23
Pimpri-Chinchwad,18.6278,73.7898,Faridabad,28.4089,77.3178,1145.33,Medium Truck,diesel,92.0,18,18966.66,944.64,200,20111.3
Tiruchirappalli,10.7905,78.7047,Solapur,17.6599,75.9064,821.16,Small Truck,diesel,92.0,10,7554.67,296.35,200,8051.02
Kanpur,26.4499,80.3319,Ghaziabad,28.6692,77.4538,375.99,Small Truck,diesel,92.0,10,3459.11,162.8,200,3821.91
Ghaziabad,28.6692,77.4538,Jabalpur,23.1815,79.9864,660.61,Electric Van,electric,12.0,18,1426.92,397.09,200,2024.01
Rajkot,22.3039,70.8022,Solapur,17.6599,75.9064,742.25,Medium Truck,diesel,92.0,18,12291.66,654.42,200,13146.08
Chandigarh,30.7333,76.7794,Madurai,9.9252,78.1198,2317.91,Medium Truck,diesel,92.0,18,38384.59,1788.9,200,40373.48
Ghaziabad,28.6692,77.4538,Guwahati,26.1445,91.7362,1436.59,Tractor Trailer,diesel,92.0,30,39649.88,2404.88,200,42254.77
Jabalpur,23.1815,79.9864,Bengaluru,12.9716,77.5946,1163.0,Large Truck,diesel,92.0,25,26749.0,1595.6,200,28544.6
Kota,25.2138,75.8648,Faridabad,28.4089,77.3178,383.41,Small Truck,diesel,92.0,10,3527.37,165.02,200,3892.4
Agra,27.1767,78.0081,Delhi,28.7041,77.1025,191.72,CNG Truck,cng,80.0,16,2454.02,236.54,200,2890.55
Amritsar,31.634,74.8723,Pune,18.5204,73.8567,1461.72,Pickup,electric,12.0,8,1403.25,390.81,200,1994.06
Solapur,17.6599,75.9064,Jaipur,26.9124,75.7873,1028.9,Pickup,diesel,92.0,8,7572.7,286.94,200,8059.64
Allahabad,25.4358,81.8463,Raipur,21.2514,81.6296,465.81,Large Truck,diesel,92.0,25,10713.63,758.97,200,11672.6
Howrah,22.5958,88.2636,Dhanbad,23.7957,86.4304,230.01,Pickup,diesel,92.0,8,1692.87,95.2,200,1988.08
Hubli,15.3647,75.123,Coimbatore,11.0168,76.9558,522.58,Large Truck,diesel,92.0,25,12019.34,827.1,200,13046.44
Visakhapatnam,17.6868,83.2185,Hyderabad,17.385,78.4867,502.81,Large Truck,petrol,100.0,25,12570.25,803.37,200,13573.62
Srinagar,34.0837,74.7973,Jabalpur,23.1815,79.9864,1313.23,Tractor Trailer,diesel,92.0,30,36245.15,2219.85,200,38664.99
Agra,27.1767,78.0081,Mumbai,19.076,72.8777,1042.05,Pickup,petrol,100.0,8,8336.4,290.09,200,8826.49
Amritsar,31.634,74.8723,Thane,19.2183,72.9781,1393.52,Large Truck,diesel,92.0,25,32050.96,1872.22,200,34123.18
Agra,27.1767,78.0081,Patna,25.5941,85.1376,731.53,Tractor Trailer,diesel,92.0,30,20190.23,1347.29,200,21737.52
Patna,25.5941,85.1376,Gwalior,26.2183,78.1828,698.99,Small Truck,diesel,92.0,10,6430.71,259.7,200,6890.41
Indore,22.7196,75.8577,Hyderabad,17.385,78.4867,653.6,Medium Truck,diesel,92.0,18,10823.62,590.59,200,11614.21
Amritsar,31.634,74.8723,Gwalior,26.2183,78.1828,682.86,CNG Truck,cng,80.0,16,8740.61,560.69,200,9501.3
Dhanbad,23.7957,86.4304,Raipur,21.2514,81.6296,568.43,Electric Van,electric,12.0,18,1227.81,352.85,200,1780.66
Mumbai,19.076,72.8777,Hyderabad,17.385,78.4867,621.46,Large Truck,diesel,92.0,25,14293.58,945.75,200,15439.33
Chandigarh,30.7333,76.7794,Visakhapatnam,17.6868,83.2185,1589.95,Large Truck,diesel,92.0,25,36568.85,2107.94,200,38876.79
Faridabad,28.4089,77.3178,Dhanbad,23.7957,86.4304,1044.03,Tractor Trailer,diesel,92.0,30,28815.23,1816.05,200,30831.27
